2012 rank,City,State,2012 estimate,2010 Census
116,Columbus,Georgia,"198,413","189,885"
,,,,
117,Augusta,Georgia,"197,872","195,844"
,,,,
118,Little Rock,Arkansas,"196,537","193,524"
,,,,
119,Amarillo,Texas,"195,250","190,695"
,,,,
120,Mobile,Alabama,"194,822","195,111"
,,,,
121,Huntington Beach,California,"194,708","189,992"
,,,,
122,Glendale,California,"194,478","191,719"
,,,,
123,Grand Rapids,Michigan,"190,411","188,040"
,,,,
124,Salt Lake City,Utah,"189,314","186,440"
,,,,
125,Tallahassee,Florida,"186,971","181,376"
,,,,
126,Huntsville,Alabama,"183,739","180,105"
,,,,
127,Worcester,Massachusetts,"182,669","181,045"
,,,,
128,Knoxville,Tennessee,"182,200","178,874"
,,,,
129,Grand Prairie,Texas,"181,824","175,396"
,,,,
130,Newport News,Virginia,"180,726","180,719"
,,,,
131,Brownsville,Texas,"180,097","175,023"
,,,,
132,Santa Clarita,California,"179,013","176,320"
,,,,
133,Overland Park,Kansas,"178,919","173,372"
,,,,
134,Providence,Rhode Island,"178,432","178,042"
,,,,
135,Jackson,Mississippi,"175,437","173,514"
,,,,
136,Garden Grove,California,"174,389","170,883"
,,,,
137,Oceanside,California,"171,293","167,086"
,,,,
138,Chattanooga,Tennessee,"171,279","167,674"
,,,,
139,Fort Lauderdale,Florida,"170,747","165,521"
,,,,
140,Rancho Cucamonga,California,"170,746","165,269"
,,,,
141,Santa Rosa,California,"170,685","167,815"
,,,,
142,Port St. Lucie,Florida,"168,716","164,603"
,,,,
143,Ontario,California,"167,211","163,924"
,,,,
144,Tempe,Arizona,"166,842","161,719"
,,,,
145,Vancouver,Washington,"165,489","161,791"
,,,,
146,Springfield,Missouri,"162,191","159,498"
,,,,
147,Cape Coral,Florida,"161,248","154,305"
,,,,
148,Pembroke Pines,Florida,"160,306","154,019"
,,,,
149,Sioux Falls,South Dakota,"159,908","153,888"
,,,,
150,Peoria,Arizona,"159,789","154,065"
,,,,
151,Lancaster,California,"159,055","156,633"
,,,,
152,Elk Grove,California,"159,038","153,015"
,,,,
153,Corona,California,"158,391","152,374"
,,,,
154,Eugene,Oregon,"157,986","156,185"
,,,,
155,Salem,Oregon,"157,429","154,637"
,,,,
156,Palmdale,California,"155,650","152,750"
,,,,
157,Salinas,California,"154,484","150,441"
,,,,
158,Springfield,Massachusetts,"153,552","153,060"
,,,,
159,Pasadena,Texas,"152,272","149,043"
,,,,
160,Rockford,Illinois,"150,843","152,871"
,,,,
161,Pomona,California,"150,812","149,058"
,,,,
162,Hayward,California,"149,392","144,186"
,,,,
163,Fort Collins,Colorado,"148,612","143,986"
,,,,
164,Joliet,Illinois,"148,268","147,433"
,,,,
165,Escondido,California,"147,575","143,911"
,,,,
166,Kansas City,Kansas,"147,268","145,786"
,,,,
167,Torrance,California,"147,027","145,438"
,,,,
168,Bridgeport,Connecticut,"146,425","144,229"
,,,,
169,Alexandria,Virginia,"146,294","139,966"
,,,,
170,Sunnyvale,California,"146,197","140,081"
,,,,
171,Cary,North Carolina,"145,693","135,234"
,,,,
172,Lakewood,Colorado,"145,516","142,980"
,,,,
173,Hollywood,Florida,"145,236","140,768"
,,,,
174,Paterson,New Jersey,"145,219","146,199"
,,,,
175,Syracuse,New York,"144,170","145,170"
,,,,
176,Naperville,Illinois,"143,684","141,853"
,,,,
177,McKinney,Texas,"143,223","131,117"
,,,,
178,Mesquite,Texas,"143,195","139,824"
,,,,
179,Clarksville,Tennessee,"142,519","132,929"
,,,,
180,Savannah,Georgia,"142,022","136,286"
,,,,
181,Dayton,Ohio,"141,359","141,527"
,,,,
182,Orange,California,"139,419","136,416"
,,,,
183,Fullerton,California,"138,574","135,161"
,,,,
184,Pasadena,California,"138,547","137,122"
,,,,
185,Hampton,Virginia,"136,836","137,436"
,,,,
186,McAllen,Texas,"134,719","129,877"
,,,,
187,Killeen,Texas,"134,654","127,921"
,,,,
188,Warren,Michigan,"134,141","134,056"
,,,,
189,West Valley City,Utah,"132,434","129,480"
,,,,
190,Columbia,South Carolina,"131,686","129,272"
,,,,
191,New Haven,Connecticut,"130,741","129,779"
,,,,
192,Sterling Heights,Michigan,"130,410","129,699"
,,,,
193,Olathe,Kansas,"130,045","125,872"
,,,,
194,Miramar,Florida,"128,729","122,041"
,,,,
195,Thousand Oaks,California,"128,412","126,683"
,,,,
196,Frisco,Texas,"128,176","116,989"
,,,,
197,Cedar Rapids,Iowa,"128,119","126,326"
,,,,
198,Topeka,Kansas,"127,939","127,473"
,,,,
199,Visalia,California,"127,081","124,442"
,,,,
200,Waco,Texas,"127,018","124,805"
,,,,
201,Elizabeth,New Jersey,"126,458","124,969"
,,,,
202,Bellevue,Washington,"126,439","122,363"
,,,,
203,Gainesville,Florida,"126,047","124,354"
,,,,
204,Simi Valley,California,"125,793","124,237"
,,,,
205,Charleston,South Carolina,"125,583","120,083"
,,,,
206,Carrollton,Texas,"125,409","119,097"
,,,,
207,Coral Springs,Florida,"125,287","121,096"
,,,,
208,Stamford,Connecticut,"125,109","122,643"
,,,,
209,Hartford,Connecticut,"124,893","124,775"
,,,,
210,Concord,California,"124,711","122,067"
,,,,
211,Roseville,California,"124,519","118,788"
,,,,
212,Thornton,Colorado,"124,140","118,772"
,,,,
213,Kent,Washington,"122,999","92,411"
,,,,
214,Lafayette,Louisiana,"122,761","120,623"
,,,,
215,Surprise,Arizona,"121,287","117,517"
,,,,
216,Denton,Texas,"121,123","113,383"
,,,,
217,Victorville,California,"120,336","115,903"
,,,,
218,Evansville,Indiana,"120,235","117,429"
,,,,
219,Midland,Texas,"119,385","111,147"
,,,,
220,Santa Clara,California,"119,311","116,468"
,,,,
221,Athens,Georgia,"118,999","115,452"
,,,,
222,Allentown,Pennsylvania,"118,974","118,032"
,,,,
223,Abilene,Texas,"118,887","117,063"
,,,,
224,Beaumont,Texas,"118,228","118,296"
,,,,
225,Vallejo,California,"117,796","115,942"
,,,,
226,Independence,Missouri,"117,270","116,830"
,,,,
227,Springfield,Illinois,"117,126","116,250"
,,,,
228,Ann Arbor,Michigan,"116,121","113,934"
,,,,
229,Provo,Utah,"115,919","112,488"
,,,,
230,Peoria,Illinois,"115,687","115,007"
,,,,
231,Norman,Oklahoma,"115,562","110,925"
,,,,
232,Berkeley,California,"115,403","112,580"
,,,,
233,El Monte,California,"115,111","113,475"
,,,,
234,Murfreesboro,Tennessee,"114,038","108,755"
,,,,
235,Lansing,Michigan,"113,996","114,297"
,,,,
236,Columbia,Missouri,"113,225","108,500"
,,,,
237,Downey,California,"112,873","111,772"
,,,,
238,Costa Mesa,California,"111,918","109,960"
,,,,
239,Inglewood,California,"111,182","109,673"
,,,,
240,Miami Gardens,Florida,"110,754","107,167"
,,,,
241,,New Hampshire,"110,209","109,565"
,,,,
242,Elgin,Illinois,"109,927","108,188"
,,,,
243,Wilmington,North Carolina,"109,922","106,476"
,,,,
244,Waterbury,Connecticut,"109,915","110,366"
,,,,
245,Fargo,North Dakota,"109,779","105,549"
,,,,
246,Arvada,Colorado,"109,745","106,433"
,,,,
247,Carlsbad,California,"109,318","105,328"
,,,,
248,Westminster,Colorado,"109,169","106,114"
,,,,
249,Rochester,Minnesota,"108,992","106,769"
,,,,
